기준월,영업부코드,영업지점코드,박스,금액
,5200,521,109340.0,1470335.89
,5200,522,129652.0,1933493.75
,5210,523,62948.0,601974.95
,5300,531,173988.0,2113957.57
,5300,532,275697.0,3565559.04
,5400,541,617175.0,7849402.25
,5400,542,476843.0,5088597.59
,5400,543,85189.0,1129661.55
,5400,544,59966.0,438473.28
,5500,524,246201.0,2254081.18
2026-07,5100,511,57.0,539.3
2026-07,5200,521,209866.0,2774068.4
2026-07,5200,522,220268.0,3142755.56
2026-07,5210,523,64436.0,616498.12
2026-07,5300,531,270635.0,3284427.18
2026-07,5300,532,343985.0,4433784.38
2026-07,5400,541,802427.0,10188125.91
2026-07,5400,542,613612.0,6783655.31
2026-07,5400,543,118160.0,1579534.91
2026-07,5400,544,69110.0,490762.56
2026-07,5400,545,6561.2,191559.94
2026-07,5500,524,290913.0,2618568.47
2026-08,,,634320.0,8468992.09
2026-08,5200,521,3570.0,92954.1
2026-08,5200,522,2075.0,45293.93
2026-08,5210,523,19230.0,213567.31
2026-08,5300,531,18720.0,217561.92
2026-08,5300,532,28024.0,342906.74
2026-08,5400,541,279936.0,3682049.9
2026-08,5400,542,174887.0,2972858.16
2026-08,5400,543,31558.0,438747.87
2026-08,5400,544,76320.0,463052.16
