제품코드,제품명,기준월,수요계획,공급량,출고량,기초재고
101070097,Big Bowl Spicy Shrimp 6,2026-01,11520.0,6716.0,52.0,0.0
101070097,Big Bowl Spicy Shrimp 6,2026-02,0.0,4086.0,2219.0,6664.0
101070097,Big Bowl Spicy Shrimp 6,2026-03,0.0,0.0,3655.0,8531.0
101070097,Big Bowl Spicy Shrimp 6,2026-04,300.0,0.0,801.0,4876.0
101070097,Big Bowl Spicy Shrimp 6,2026-05,500.0,0.0,964.0,4075.0
101070097,Big Bowl Spicy Shrimp 6,2026-06,100.0,0.0,709.0,3111.0
101070097,Big Bowl Spicy Shrimp 6,2026-07,1000.0,0.0,428.0,2402.0
101070097,Big Bowl Spicy Shrimp 6,2026-08,1000.0,0.0,1575.0,1974.0
101070097,Big Bowl Spicy Shrimp 6,2026-09,1500.0,0.0,0.0,399.0
101070097,Big Bowl Spicy Shrimp 6,2026-10,1500.0,0.0,0.0,399.0
101070097,Big Bowl Spicy Shrimp 6,2026-11,1500.0,0.0,0.0,399.0
101070097,Big Bowl Spicy Shrimp 6,2026-12,1500.0,0.0,0.0,399.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-01,0.0,0.0,0.0,0.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-02,0.0,0.0,0.0,0.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-03,40320.0,17618.0,25.0,0.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-04,57600.0,25847.0,1.0,17593.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-05,57600.0,68936.0,31202.0,43439.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-06,115200.0,40587.0,46276.0,81173.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-07,45000.0,0.0,6722.0,75484.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-08,60000.0,0.0,4.0,68762.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-09,0.0,0.0,0.0,68758.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-10,0.0,0.0,0.0,68758.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-11,0.0,0.0,0.0,68758.0
101070149,Big Bowl Shin Tom Yum 6 Club,2026-12,0.0,0.0,0.0,68758.0
101070181,Bowl Noodles Spicy Cheese 12,2026-01,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-02,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-03,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-04,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-05,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-06,0.0,0.0,0.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-07,12000.0,22604.0,26.0,0.0
101070181,Bowl Noodles Spicy Cheese 12,2026-08,1000.0,0.0,2333.0,22578.0
101070181,Bowl Noodles Spicy Cheese 12,2026-09,4000.0,0.0,0.0,20245.0
101070181,Bowl Noodles Spicy Cheese 12,2026-10,4000.0,0.0,0.0,20245.0
101070181,Bowl Noodles Spicy Cheese 12,2026-11,4000.0,0.0,0.0,20245.0
101070181,Bowl Noodles Spicy Cheese 12,2026-12,4000.0,0.0,0.0,20245.0
101070182,Bowl Noodles Chipotle Shrimp 12,2026-01,0.0,0.0,0.0,0.0
