기준월,영업부코드,영업지점코드,상태,출고예정일,인도조건,박스,금액
,5200,521,C,2026-07-31,EXW,4824,46925.52
,5200,521,C2,2026-07-29,DDP,20388,259608.78
,5200,521,C2,2026-07-30,DDP,23946,272736.05
,5200,521,C2,2026-07-30,EXW,96,1658.88
,5200,521,C2,2026-07-31,DDP,14246,171552.63
,5200,521,C3,,DDP,31316,408506.73
,5200,521,C4,,DDP,92413,1082411.06
,5200,521,C4,,EXW,4022,65156.84
,5200,521,S,,EXW,3144,53380.98
,5200,522,C2,,DDP,6998,71631.26
,5200,522,C2,2026-07-29,DDP,19597,248578.7
,5200,522,C2,2026-07-30,EXW,240,2977.28
,5200,522,C2,2026-07-31,DDP,7006,87732.12
,5200,522,C3,,DDP,57455,745613.04
,5200,522,C4,,DDP,63940,717370.22
,5200,522,C4,,EXW,2978,31946.89
,5210,523,C2,,EXW,49377,391770.17
,5210,523,C2,2026-08-03,EXW,5760,59432.54
,5210,523,C3,,EXW,1920,19810.85
,5210,523,C4,,EXW,62948,601974.95
,5300,531,C,,DDP,4752,56609.28
,5300,531,C,,EXW,26177,375595.76
,5300,531,C2,,DDP,5490,64661.76
,5300,531,C2,,EXW,1035,9733.68
,5300,531,C2,2026-07-29,DDP,11851,154340.12
,5300,531,C2,2026-07-29,EXW,5855,61694.49
,5300,531,C2,2026-07-30,DDP,4320,54432.0
,5300,531,C2,2026-07-31,DDP,3288,48203.28
,5300,531,C2,2026-07-31,EXW,9897,126860.06
,5300,531,C2,2026-08-04,DDP,504,7343.28
,5300,531,C3,,DDP,27337,323941.76
,5300,531,C3,,EXW,7159,73608.3
,5300,531,C4,,DDP,84446,1011188.2
,5300,531,C4,,EXW,76738,962363.19
,5300,531,S,,EXW,261,3784.98
,5300,532,C,,EXW,6807,92945.04
,5300,532,C,2026-07-29,EXW,864,11923.2
,5300,532,C,2026-07-30,EXW,3120,32868.0
,5300,532,C,2026-07-31,EXW,864,11923.2
,5300,532,C2,,DDP,5229,76129.38
,5300,532,C2,,EXW,3968,54551.8
,5300,532,C2,2026-07-29,DDP,4842,62658.48
,5300,532,C2,2026-07-29,EXW,3435,46807.92
,5300,532,C2,2026-07-30,DDP,5463,79153.62
,5300,532,C2,2026-07-30,EXW,2880,29808.0
,5300,532,C2,2026-07-31,DDP,8765,105290.12
,5300,532,C2,2026-07-31,EXW,6288,77450.40000000001
,5300,532,C2,2026-08-03,DDP,10422,126265.23
,5300,532,C3,,DDP,21439,280515.5
,5300,532,C3,,EXW,5088,61097.04
,5300,532,C4,,DDP,121141,1505749.42
,5300,532,C4,,EXW,120805,1656808.84
,5300,532,S,,EXW,8814,96363.24
,5400,541,C,,DDP,916,20414.22
,5400,541,C2,,EXW,39651,507810.93
,5400,541,C2,2026-07-29,EXW,20068,257677.73
,5400,541,C2,2026-07-30,EXW,41849,514559.52
,5400,541,C2,2026-07-31,EXW,65053,816391.52
,5400,541,C2,2026-08-03,EXW,43008,537603.61
,5400,541,C2,2026-08-04,EXW,5286,61183.57000000001
,5400,541,C2,2026-08-05,EXW,10423,123714.54
,5400,541,C2,2026-08-06,EXW,25556,343334.04000000004
,5400,541,C2,2026-08-07,EXW,4500,62729.77
,5400,541,C3,,DDP,1152,18890.04
,5400,541,C3,,EXW,37917,493914.82
,5400,541,C4,,DDP,1151,18873.64
,5400,541,C4,,EXW,616456,7837543.6
,5400,542,C2,2026-07-29,EXW,19970,255803.38
,5400,542,C2,2026-07-30,EXW,29571,402310.39
,5400,542,C2,2026-07-31,DDP,84,15946.56
,5400,542,C2,2026-07-31,EXW,39701,412877.24
,5400,542,C3,,EXW,40453,564305.93
,5400,542,C4,,DDP,11346,195254.1
,5400,542,C4,,EXW,465305,4891137.41
,5400,543,C,,EXW,449,5046.6900000000005
,5400,543,C2,,EXW,51117,732268.2
,5400,543,C3,,EXW,12837,151822.87
,5400,543,C4,,EXW,78279,1041041.95
,5400,544,C,2026-08-10,DDP,2880,19353.6
,5400,544,C2,,EXW,20088,122428.8
,5400,544,C2,2026-07-31,EXW,3672,20062.08
,5400,544,C2,2026-08-07,DDP,720,4838.4
,5400,544,C3,,DDP,1800,12096.0
,5400,544,C3,,EXW,3672,20131.2
,5400,544,C4,,DDP,9710,139728.0
,5400,544,C4,,EXW,50256,298745.28
,5400,544,S,,EXW,27144,165015.36
,5500,524,C2,2026-07-29,EXW,13680,124993.44
,5500,524,C2,2026-07-30,EXW,21096,188034.91
,5500,524,C2,2026-07-31,EXW,9720,51802.92
,5500,524,C4,,EXW,246201,2254081.18
2026-09,5200,521,C2,,DDP,10134,130349.25
2026-09,5200,521,C2,2026-09-14,DDP,5892,61921.49
2026-09,5200,521,C3,,DDP,41988,495974.98
2026-09,5200,521,C3,,EXW,4674,46813.68
2026-09,5200,521,C4,,DDP,17200,183851.97
2026-09,5200,522,C2,,DDP,6518,77161.41
2026-09,5200,522,C2,2026-09-14,DDP,6330,75891.39
2026-09,5200,522,C2,2026-09-14,EXW,130,1124.5
2026-09,5200,522,C2,2026-09-15,DDP,16519,205915.3
2026-09,5200,522,C3,,DDP,75532,956340.55
2026-09,5200,522,C4,,DDP,7025,80431.64
2026-09,5200,522,C4,,EXW,1733,25032.12
2026-09,5210,523,C2,,EXW,72056,609816.36
2026-09,5210,523,C2,2026-09-14,EXW,5526,48579.53
2026-09,5210,523,C2,2026-09-15,EXW,5760,59432.54
2026-09,5210,523,C2,2026-09-17,EXW,7356,73311.36
2026-09,5210,523,C2,2026-09-18,EXW,8964,88833.74
2026-09,5210,523,C3,,EXW,18924,183937.25
2026-09,5300,531,C,,DDP,5079,54215.46
2026-09,5300,531,C2,,DDP,20384,281437.73
2026-09,5300,531,C2,,EXW,14514,209869.91999999998
2026-09,5300,531,C2,2026-09-14,DDP,9184,115407.92
2026-09,5300,531,C2,2026-09-14,EXW,13965,145684.72
2026-09,5300,531,C2,2026-09-15,DDP,6486,78478.56
2026-09,5300,531,C2,2026-09-15,EXW,7411,86997.44
2026-09,5300,531,C2,2026-09-16,DDP,567,8261.19
2026-09,5300,531,C2,2026-09-17,DDP,4578,54971.64
2026-09,5300,531,C2,2026-09-17,EXW,6291,79182.24
2026-09,5300,531,C2,2026-09-21,EXW,933,9667.38
2026-09,5300,531,C2,2026-09-22,DDP,504,7343.28
2026-09,5300,531,C3,,DDP,14817,168895.29
2026-09,5300,531,C3,,EXW,14744,163141.1
2026-09,5300,531,C4,,DDP,16405,212073.08
2026-09,5300,531,C4,,EXW,28505,429420.99
2026-09,5300,531,S,,EXW,973,17652.1
2026-09,5300,532,C,,DDP,11577,119313.48
2026-09,5300,532,C,,EXW,17583,347535.12
2026-09,5300,532,C2,,DDP,32255,407186.42
2026-09,5300,532,C2,,EXW,23682,390904.02
2026-09,5300,532,C2,2026-09-14,DDP,13907,168158.66
2026-09,5300,532,C2,2026-09-14,EXW,1728,23846.4
2026-09,5300,532,C2,2026-09-15,DDP,12031,150805.82
2026-09,5300,532,C2,2026-09-15,EXW,864,12856.32
2026-09,5300,532,C2,2026-09-16,DDP,4749,55737.6
2026-09,5300,532,C2,2026-09-17,DDP,6828,98559.72
2026-09,5300,532,C2,2026-09-17,EXW,11772,228225.6
2026-09,5300,532,C2,2026-09-18,DDP,15327,208473.84
2026-09,5300,532,C2,2026-09-18,EXW,4590,94828.32
2026-09,5300,532,C2,2026-09-21,EXW,3440,50224.8
2026-09,5300,532,C3,,DDP,26091,330341.86
2026-09,5300,532,C3,,EXW,20243,232708.2
2026-09,5300,532,C4,,DDP,37235,494953.42
2026-09,5300,532,C4,,EXW,24629,360818.75
2026-09,5300,532,S,,DDP,4724,48785.520000000004
2026-09,5400,541,C2,,EXW,228278,3065817.06
2026-09,5400,541,C2,2026-09-14,EXW,99987,1133616.74
2026-09,5400,541,C2,2026-09-15,EXW,53125,621498.07
2026-09,5400,541,C2,2026-09-16,EXW,36447,438639.24
