기준월,거래처 코드,제품코드,박스,금액
2025-01,1200002,101002612,600,5808.0
2025-01,1200002,101002715,720,5954.4
2025-01,1200002,101003347,216,2857.68
2025-01,1200002,101003359,360,1890.0
2025-01,1200002,101003360,360,1890.0
2025-01,1200002,101004141,810,11688.3
2025-01,1200002,101004224,7560,100018.79999999999
2025-01,1200002,101004230,162,3841.02
2025-01,1200002,101004261,162,3841.02
2025-01,1200006,101002715,360,2437.2
2025-01,1200006,101003241,1440,7747.2
2025-01,1200006,101003359,720,3873.6
2025-01,1200006,101004183,720,3873.6
2025-01,1200006,101004224,432,4661.28
2025-01,1200006,101004261,810,19440.0
2025-01,1200006,101070154,144,1496.16
2025-01,1200006,101070156,144,1496.16
2025-01,1200006,101070158,288,2992.32
2025-01,1200006,101070162,288,2992.32
2025-01,1200006,101070165,432,4488.48
2025-01,1200006,101070168,576,5984.64
2025-01,1200007,101002402,72,580.32
2025-01,1200007,101003241,720,3024.0
2025-01,1200007,101003347,108,1142.64
2025-01,1200007,101004141,81,934.74
2025-01,1200007,101004224,648,8573.04
2025-01,1200007,101004261,243,4609.71
2025-01,1200007,101005690,96,920.64
2025-01,1200007,101070153,72,580.32
2025-01,1200007,101070156,72,580.32
2025-01,1200007,101070158,72,580.32
2025-01,1200007,101070162,288,2321.28
2025-01,1200007,101070168,288,2321.28
2025-01,1200010,101002715,1080,8812.8
2025-01,1200010,101002716,324,2860.92
2025-01,1200010,101002859,360,1958.4
2025-01,1200010,101003241,720,3916.8
2025-01,1200010,101003360,360,1958.4
2025-01,1200010,101004224,1080,14029.2
2025-01,1200010,101004230,162,3711.42
2025-01,1200010,101004233,192,1912.32
2025-01,1200010,101004261,810,18557.1
2025-01,1200010,101005690,192,1912.32
2025-01,1200010,101070017,192,1912.32
2025-01,1200010,101070156,288,3090.24
2025-01,1200010,101070162,144,1545.12
2025-01,1200010,101070165,144,1545.12
2025-01,1200010,101070168,432,4635.36
2025-01,1200015,101002381,150,1942.5
2025-01,1200015,101002402,144,1143.36
2025-01,1200015,101002859,720,2988.0
2025-01,1200015,101003241,1080,4856.4
2025-01,1200015,101003346,216,2836.08
2025-01,1200015,101003359,360,1868.4
2025-01,1200015,101004141,162,2316.6
2025-01,1200015,101004174,360,1868.4
2025-01,1200015,101004224,6696,70308.0
2025-01,1200015,101004230,162,3819.96
2025-01,1200015,101004233,192,1820.16
2025-01,1200015,101004257,192,1555.2
2025-01,1200015,101070153,288,2573.2799999999997
2025-01,1200015,101070156,144,1143.36
2025-01,1200015,101070158,288,2573.2799999999997
2025-01,1200015,101070162,2592,24019.2
2025-01,1200015,101070165,1872,17156.16
2025-01,1200015,101070168,1296,11149.92
2025-01,1200016,101002188,26,285.22
2025-01,1200016,101002381,150,1942.5
2025-01,1200016,101002402,143,1568.71
2025-01,1200016,101002612,300,2883.0
2025-01,1200016,101002715,5400,35092.8
2025-01,1200016,101002716,644,5907.76
2025-01,1200016,101003015,0,-228.96
2025-01,1200016,101003347,216,2836.08
2025-01,1200016,101003359,360,1868.4
2025-01,1200016,101004141,324,3836.16
2025-01,1200016,101004174,360,1868.4
2025-01,1200016,101004224,6480,67404.96
2025-01,1200016,101004229,162,3819.96
2025-01,1200016,101004230,162,3819.96
2025-01,1200016,101004233,192,1820.16
2025-01,1200016,101004245,216,2836.08
2025-01,1200016,101004257,192,1555.2
2025-01,1200016,101004261,162,3819.96
2025-01,1200016,101070152,1728,7142.4
2025-01,1200016,101070155,1728,7142.4
2025-01,1200016,101070161,2016,8570.88
2025-01,1200016,101070164,1152,4285.44
2025-01,1200016,101070167,2016,8570.88
2025-01,1200017,101002612,600,5904.0
2025-01,1200017,101003241,1800,9684.0
2025-01,1200017,101003346,216,2903.04
2025-01,1200017,101003347,1296,17418.24
2025-01,1200017,101003359,360,1936.8
2025-01,1200017,101003360,360,1936.8
2025-01,1200017,101004174,360,1936.8
2025-01,1200017,101004224,6480,69660.0
2025-01,1200017,101004230,162,3888.0
2025-01,1200017,101004257,192,1622.4
2025-01,1200017,101004261,486,11664.0
2025-01,1200017,101070156,144,1496.16
2025-01,1200017,101070162,2160,22442.4
2025-01,1200017,101070168,2016,20946.239999999998
2025-01,1200018,101002381,450,5890.5
2025-01,1200018,101002402,288,2900.16
2025-01,1200018,101002612,1200,11616.0
2025-01,1200018,101002715,1080,8931.6
2025-01,1200018,101002859,1440,7560.0
2025-01,1200018,101003241,2160,11340.0
2025-01,1200018,101003346,432,5715.36
2025-01,1200018,101003347,1296,17146.079999999998
2025-01,1200018,101003360,1440,7560.0
2025-01,1200018,101004141,810,11688.3
2025-01,1200018,101004174,720,3780.0
2025-01,1200018,101004183,360,1890.0
2025-01,1200018,101004224,10800,114264.0
2025-01,1200018,101004229,324,7682.04
2025-01,1200018,101004230,324,7682.04
2025-01,1200018,101004233,576,5523.84
2025-01,1200018,101004245,432,5715.36
2025-01,1200018,101004257,576,4728.96
2025-01,1200018,101004261,972,23046.12
2025-01,1200018,101005690,192,1841.28
2025-01,1200018,101070153,144,1450.08
2025-01,1200018,101070154,144,1450.08
2025-01,1200018,101070156,288,2900.16
2025-01,1200018,101070158,144,1450.08
2025-01,1200018,101070162,1152,11600.64
2025-01,1200018,101070165,576,5800.32
2025-01,1200018,101070168,1008,10150.56
2025-01,1200019,101002188,144,1630.08
2025-01,1200019,101004224,6588,74115.0
2025-01,1200019,101004233,96,1010.88
2025-01,1200019,101070154,144,1630.08
2025-01,1200019,101070156,144,1630.08
2025-01,1200019,101070158,144,1630.08
2025-01,1200019,101070162,1728,19560.96
2025-01,1200019,101070165,720,8150.4
2025-01,1200019,101070168,864,9780.48
2025-01,1200020,101002188,288,2900.16
2025-01,1200020,101002402,288,2900.16
2025-01,1200020,101002715,720,5954.4
2025-01,1200020,101004257,192,1576.32
2025-01,1200020,101005690,192,1841.28
2025-01,1200020,101070153,144,1450.08
2025-01,1200020,101070154,288,2900.16
2025-01,1200020,101070156,432,4350.24
2025-01,1200020,101070158,576,5800.32
2025-01,1200020,101070162,1296,13050.72
2025-01,1200020,101070165,144,1450.08
2025-01,1200020,101070168,288,2900.16
2025-01,1200023,101002381,150,1963.5
2025-01,1200023,101002612,300,2904.0
2025-01,1200023,101002859,360,1890.0
2025-01,1200023,101003241,1080,5670.0
2025-01,1200023,101003347,432,5715.36
2025-01,1200023,101003359,360,1890.0
2025-01,1200023,101003360,360,1890.0
2025-01,1200023,101004141,810,11688.3
2025-01,1200023,101004224,1512,15996.960000000001
2025-01,1200023,101004245,216,2857.68
2025-01,1200023,101004257,192,1576.32
2025-01,1200023,101004261,486,11523.06
2025-01,1200023,101070017,0,-737.28
